ID,Group,Treatment,Replicate,Sum_Length,Mean_Length
1,KGTY,Control,A,138.034,23.00566667
2,KGTY,Control,B,336.988,22.46586667
3,KGTY,NH4NO3,A,4333,393.9090909
4,KGTY,NH4NO3,B,2293.9,191.1583333
5,KGTY,L-Ala,A,3812.611,293.2777692
6,KGTY,L-Ala,B,3034.885,303.4885
7,KGTY,D-Ala,A,0,0
8,KGTY,D-Ala,B,0,0
9,KGTY,Ala-Ala,A,1998.3,124.89375
10,KGTY,Ala-Ala,B,4148.6,244.0352941
11,KGTY,Ala-Ala-Ala,A,628.9,48.37692308
12,KGTY,Ala-Ala-Ala,B,68.1404,4.542693333
13,KGTY,Betaine,B,125.846,8.989
14,KGTY,Carnitine,A,48.69,4.426363636
15,KGTY,Carnitine,B,61.034,4.359571429
16,KGTY,Ectoine,A,207.117,17.25975
17,KGTY,Ectoine,B,159.084,9.94275
18,KGTY,BSA,A,43.908,5.4885
19,KGTY,BSA,B,28.087,4.012428571
20,GTEK,Control,A,162.6,13.55
21,GTEK,NH4NO3,A,2924.14,194.9426667
22,GTEK,L-Ala,A,81.096,5.0685
23,GTEK,D-Ala,A,0,0
24,GTEK,Ala-Ala,A,1521.053,84.50294444
25,GTEK,Ala-Ala-Ala,A,472,39.33333333
26,GTEK,Betaine,A,34.7,2.891666667
27,GTEK,Carnitine,A,52.108,4.737090909
28,GTEK,Ectoine,A,266.784,20.52184615
29,GTEK,BSA,A,95,9.5